file_path,file_name,container,video_codec,audio_codec,resolution_x,resolution_y,duration,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E15.mp4,Outcast_S02_E15.mp4,mp4,h264,aac,1920,1080,00:23:21.472,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E15.mp4,Outcast_S02_E15.mp4,2,15,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E16.mp4,Outcast_S02_E16.mp4,mp4,h264,aac,1920,1080,00:25:09.077,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E16.mp4,Outcast_S02_E16.mp4,2,16,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E17.mp4,Outcast_S02_E17.mp4,mp4,h264,aac,1920,1080,00:23:59.750,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E17.mp4,Outcast_S02_E17.mp4,2,17,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E18.mp4,Outcast_S02_E18.mp4,mp4,h264,aac,1920,1080,00:25:15.328,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E18.mp4,Outcast_S02_E18.mp4,2,18,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E19.mp4,Outcast_S02_E19.mp4,mp4,h264,aac,1920,1080,00:25:10.875,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E19.mp4,Outcast_S02_E19.mp4,2,19,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E20.mp4,Outcast_S02_E20.mp4,mp4,h264,aac,1920,1080,00:24:17.500,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E20.mp4,Outcast_S02_E20.mp4,2,20,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E21.mp4,Outcast_S02_E21.mp4,mp4,h264,aac,1920,1080,00:27:53.834,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E21.mp4,Outcast_S02_E21.mp4,2,21,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E22.mp4,Outcast_S02_E22.mp4,mp4,h264,aac,1920,1080,00:24:10.625,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E22.mp4,Outcast_S02_E22.mp4,2,22,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E23.mp4,Outcast_S02_E23.mp4,mp4,h264,aac,1920,1080,00:25:33.500,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E23.mp4,Outcast_S02_E23.mp4,2,23,The Outcast
E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E24.mp4,Outcast_S02_E24.mp4,mp4,h264,aac,1920,1080,00:25:41.917,E:/z_project_extract/The Outcast/Season 2/Outcast_S02_E24.mp4,Outcast_S02_E24.mp4,2,24,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E01.mp4,Outcast_S03_E01.mp4,mp4,h264,aac,1920,1080,00:23:33.312,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E01.mp4,Outcast_S03_E01.mp4,3,1,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E02.mp4,Outcast_S03_E02.mp4,mp4,h264,aac,1920,1080,00:28:10.475,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E02.mp4,Outcast_S03_E02.mp4,3,2,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E03.mp4,Outcast_S03_E03.mp4,mp4,h264,aac,1920,1080,00:22:58.240,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E03.mp4,Outcast_S03_E03.mp4,3,3,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E04.mp4,Outcast_S03_E04.mp4,mp4,h264,aac,1920,1080,00:20:28.651,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E04.mp4,Outcast_S03_E04.mp4,3,4,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E05.mp4,Outcast_S03_E05.mp4,mp4,h264,aac,1920,1080,00:22:51.477,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E05.mp4,Outcast_S03_E05.mp4,3,5,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E06.mp4,Outcast_S03_E06.mp4,mp4,h264,aac,1920,1080,00:19:20.021,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E06.mp4,Outcast_S03_E06.mp4,3,6,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E07.mp4,Outcast_S03_E07.mp4,mp4,h264,aac,1920,1080,00:22:00.192,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E07.mp4,Outcast_S03_E07.mp4,3,7,The Outcast
E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E08.mp4,Outcast_S03_E08.mp4,mp4,h264,aac,1920,1080,00:22:50.176,E:/z_project_extract/The Outcast/Season 3/Outcast_S03_E08.mp4,Outcast_S03_E08.mp4,3,8,The Outcast
E:/z_project_extract/The Outcast/Season 4/Outcast_S04_E01.mp4,Outcast_S04_E01.mp4,mp4,h264,aac,1920,804,00:23:05.000,E:/z_project_extract/The Outcast/Season 4/Outcast_S04_E01.mp4,Outcast_S04_E01.mp4,4,1,The Outcast
E:/z_project_extract/The Outcast/Season 4/Outcast_S04_E02.mp4,Outcast_S04_E02.mp4,mp4,h264,aac,1920,804,00:24:04.125,E:/z_project_extract/The Outcast/Season 4/Outcast_S04_E02.mp4,Outcast_S04_E02.mp4,4,2,The Outcast
